"","pmid","from","to"
"13023","27416985","1404933902319492121","-1135098093351933725"
"13024","27416985","-4136293945453318069","-1135098093351933725"
"13025","27416985","4496191920649739347","-1135098093351933725"
"13026","27416985","7074361249633013650","-1135098093351933725"
"13027","27416985","8556962049153109223","-1135098093351933725"
"13028","27416985","-1690422511955589955","-1135098093351933725"
"13029","27416985","-3212785207850349084","-1135098093351933725"
"13030","27416985","1037369510078157027","-1135098093351933725"
"13031","27416985","3934887264873752867","-1135098093351933725"
"13032","27416985","-1051670365943237645","-1768652038431118668"
"13033","27416985","3709813188814751795","-1768652038431118668"
"13034","27416985","8596115707704972239","-1768652038431118668"
"13035","27416985","1404933902319492121","6694974120603701742"
"13036","27416985","-1051670365943237645","6694974120603701742"
"13037","27416985","8596115707704972239","6694974120603701742"
"13038","27416985","-3212785207850349084","6694974120603701742"
"13039","27416985","3934887264873752867","6694974120603701742"
"13040","27416985","-4475332471115026051","-6457859943045763490"
"13041","27416985","-6912052022144370498","-6457859943045763490"
"13042","27416985","-7545347992112963689","-6457859943045763490"
"13043","27416985","-3212785207850349084","-6457859943045763490"
"13044","27416985","3934887264873752867","-6457859943045763490"
"13045","27416985","-1014147375867388215","5114260405020229332"
"13046","27416985","-9120418093314084977","-7363433300282806446"
"13047","27416985","-3212785207850349084","-7363433300282806446"
"13048","27416985","8596115707704972239","-7363433300282806446"
"13049","27416985","-3409492502835059163","-7363433300282806446"
"13171","27438151","-4896417099078399246","-8078906316963467613"
"13172","27438151","-6235323789280108473","-8078906316963467613"
"13214","27443263","-2531875720891133112","4260088234180070159"
"13215","27443263","-754510669143280296","2807196440767786265"
"13216","27443263","4496191920649739347","2807196440767786265"
"13217","27443263","-7545347992112963689","-421845112043871739"
"13269","27451977","-6781003235278958016","-9179023582015518733"
"13277","27455414","-5669232169622284655","-543863456868583260"
"13278","27455414","5039342224281592929","7149879460834313682"
"13279","27455414","5039342224281592929","-5690111541569597548"
"13424","26733610","7796681219901118741","-7922718891041875472"
"13827","26858309","8507750539885563380","3804306689269536534"
"13828","26858309","4817139587086078689","3804306689269536534"
"13829","26858309","4817139587086078689","-8627475029164210323"
"13830","26858309","4817139587086078689","9100315485080262788"
"13831","26858309","4817139587086078689","2131645766712061527"
"13969","26893061","-9111931341780307576","-6390143014123480697"
"13970","26893061","4496191920649739347","-6390143014123480697"
"13971","26893061","9033695744972072993","-6390143014123480697"
"13972","26893061","-8188638720577279163","-6390143014123480697"
"13973","26893061","-2531875720891133112","-6390143014123480697"
"14308","26989080","375196400634877094","5536078391277167944"
"14309","26989080","375196400634877094","-6479177393439563032"
"14310","26989080","4977878176498985760","6054942937770642038"
"14438","27028870","9140514953477728134","-7216116364198123046"
"14439","27028870","9140514953477728134","-6083430759087918359"
"14516","27036042","4496191920649739347","-3681719467036514282"
"14517","27036042","4496191920649739347","-3681719467036514282"
"14677","27081038","-7545347992112963689","3162786446906477157"
"14818","27109508","4496191920649739347","7057200899772785291"
"14819","27109508","-2265770499832369487","7057200899772785291"
"14820","27109508","-8939608412306483495","7057200899772785291"
"14821","27109508","-2109470401482526186","7057200899772785291"
"14822","27109508","-2200566318786854020","7057200899772785291"
"14823","27109508","4496191920649739347","-6257322556513960002"
"14824","27109508","-2265770499832369487","-6257322556513960002"
"14825","27109508","-8939608412306483495","-6257322556513960002"
"14826","27109508","-2109470401482526186","-6257322556513960002"
"14827","27109508","-2200566318786854020","-6257322556513960002"
"14828","27109508","4496191920649739347","4949518565740680060"
"14829","27109508","-2265770499832369487","4949518565740680060"
"14830","27109508","-8939608412306483495","4949518565740680060"
"14831","27109508","-2109470401482526186","4949518565740680060"
"14832","27109508","-2200566318786854020","4949518565740680060"
"14833","27109508","4496191920649739347","8368493177956110740"
"14834","27109508","-2265770499832369487","8368493177956110740"
"14835","27109508","-8939608412306483495","8368493177956110740"
"14836","27109508","-2109470401482526186","8368493177956110740"
"14837","27109508","-2200566318786854020","8368493177956110740"
"14838","27114443","6710700564871770653","3981538951477565111"
